Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2012,2012,Export,United Kingdom,Mauritius,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,17767
2012,2012,Export,United Kingdom,"Other Asia, nes","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,40316
2012,2012,Export,United Kingdom,Morocco,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,2948
2012,2012,Export,United Kingdom,Oman,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,13014
2012,2012,Import,United Kingdom,Netherlands,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,3854165
2012,2012,Export,United Kingdom,Netherlands,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,28182956
2012,2012,Export,United Kingdom,Curaçao,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,2023
2012,2012,Export,United Kingdom,Nigeria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,2367
2012,2012,Export,United Kingdom,Norway,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,2205
2012,2012,Import,United Kingdom,Poland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,4289317
2012,2012,Export,United Kingdom,Poland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,331
2012,2012,Import,United Kingdom,Portugal,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,63589
2012,2012,Export,United Kingdom,Portugal,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,31661
2012,2012,Export,United Kingdom,Qatar,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,10564
2012,2012,Import,United Kingdom,Romania,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,213151
2012,2012,Export,United Kingdom,Romania,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,249
2012,2012,Export,United Kingdom,Russian Federation,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,27664
2012,2012,Export,United Kingdom,Saint Helena,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,1463
2012,2012,Export,United Kingdom,Saudi Arabia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,5900
2012,2012,Export,United Kingdom,Seychelles,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,12803
2012,2012,Export,United Kingdom,India,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,31594
2012,2012,Export,United Kingdom,Singapore,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,111652
2012,2012,Import,United Kingdom,Slovakia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,800938
2012,2012,Export,United Kingdom,Slovakia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,51
2012,2012,Export,United Kingdom,Viet Nam,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,19054
2012,2012,Export,United Kingdom,Slovenia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,149
2012,2012,Export,United Kingdom,South Africa,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,39262
2012,2012,Import,United Kingdom,Spain,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,46
2012,2012,Export,United Kingdom,Spain,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,1777281
2012,2012,Import,United Kingdom,Sweden,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,341071
2012,2012,Export,United Kingdom,Sweden,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,19482
2012,2012,Export,United Kingdom,Switzerland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,73294
2012,2012,Export,United Kingdom,Trinidad and Tobago,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,27064
2012,2012,Export,United Kingdom,United Arab Emirates,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,63118
2012,2012,Export,United Kingdom,United Rep. of Tanzania,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,6244
2012,2012,Export,United Kingdom,USA,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",0401,1329595
2012,2012,Export,United Kingdom,Afghanistan,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,44176
2012,2012,Re-Export,United Kingdom,Afghanistan,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,11137
2012,2012,Export,United Kingdom,Algeria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,40840737
2012,2012,Export,United Kingdom,Angola,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,5104
2012,2012,Export,United Kingdom,Antigua and Barbuda,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,111319
2012,2012,Import,United Kingdom,Australia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,429262
2012,2012,Export,United Kingdom,Australia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,887441
2012,2012,Import,United Kingdom,Austria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,5666
2012,2012,Export,United Kingdom,Austria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,301665
2012,2012,Export,United Kingdom,Bahrain,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,8520
2012,2012,Export,United Kingdom,Bangladesh,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1771668
2012,2012,Export,United Kingdom,Barbados,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,2186
2012,2012,Import,United Kingdom,Belgium,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,29985158
2012,2012,Export,United Kingdom,Belgium,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,2562368
2012,2012,Export,United Kingdom,Bermuda,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,2958
2012,2012,Export,United Kingdom,Belize,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,398368
2012,2012,Export,United Kingdom,Bulgaria,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,143
2012,2012,Export,United Kingdom,Myanmar,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,156393
2012,2012,Export,United Kingdom,Cameroon,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1291625
2012,2012,Export,United Kingdom,Cayman Isds,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,9035
2012,2012,Export,United Kingdom,Sri Lanka,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,39899
2012,2012,Export,United Kingdom,China,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,825393
2012,2012,Export,United Kingdom,Congo,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1623694
2012,2012,Export,United Kingdom,Dem. Rep. of the Congo,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1815
2012,2012,Export,United Kingdom,Cuba,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,2754446
2012,2012,Export,United Kingdom,Cyprus,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,44044
2012,2012,Import,United Kingdom,Czech Rep.,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1847536
2012,2012,Export,United Kingdom,Czech Rep.,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,210969
2012,2012,Export,United Kingdom,Benin,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,383076
2012,2012,Import,United Kingdom,Denmark,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,10902346
2012,2012,Export,United Kingdom,Denmark,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,921082
2012,2012,Export,United Kingdom,Dominica,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,132546
2012,2012,Export,United Kingdom,Dominican Rep.,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1946430
2012,2012,Export,United Kingdom,El Salvador,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,114922
2012,2012,Export,United Kingdom,Estonia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,683
2012,2012,Export,United Kingdom,Falkland Isds (Malvinas),"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,18703
2012,2012,Export,United Kingdom,Finland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,169109
2012,2012,Import,United Kingdom,France,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,48761717
2012,2012,Export,United Kingdom,France,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,4026610
2012,2012,Export,United Kingdom,Gabon,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,504085
2012,2012,Export,United Kingdom,Gambia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,570454
2012,2012,Import,United Kingdom,Germany,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,55927886
2012,2012,Export,United Kingdom,Germany,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,6421497
2012,2012,Export,United Kingdom,Ghana,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,4628026
2012,2012,Export,United Kingdom,Gibraltar,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,282273
2012,2012,Import,United Kingdom,Greece,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,18973
2012,2012,Export,United Kingdom,Greece,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,23849
2012,2012,Export,United Kingdom,Grenada,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,55751
2012,2012,Export,United Kingdom,Guinea,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,7440390
2012,2012,Export,United Kingdom,Guyana,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,2260304
2012,2012,Export,United Kingdom,"China, Hong Kong SAR","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,10216000
2012,2012,Export,United Kingdom,Hungary,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,5136
2012,2012,Export,United Kingdom,Iceland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,26983
2012,2012,Export,United Kingdom,Iran,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,1835194
2012,2012,Import,United Kingdom,Ireland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,57674045
2012,2012,Export,United Kingdom,Ireland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,47456347
2012,2012,Import,United Kingdom,Italy,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Milk and cream, concentrated or containing added sugar or other sweetening matter.",0402,4556557
